epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2829.09,0.96108,0.89328,1.25056,0.77158,0.68114,0.73884,0.54825,0.97629,0.87769,1.30181,0.000494885,0.000494885,0.000494885
43,2903.4,0.94889,0.87056,1.24656,0.77607,0.69336,0.74013,0.5439,0.98286,0.89146,1.31664,0.000486639,0.000486639,0.000486639
44,2976.77,0.94855,0.871,1.2469,0.78941,0.67972,0.74313,0.54901,0.96939,0.89832,1.29311,0.000478392,0.000478392,0.000478392
45,3051.8,0.93411,0.84649,1.23992,0.76654,0.70223,0.74316,0.55259,0.97307,0.86813,1.30581,0.000470145,0.000470145,0.000470145
46,3127.06,0.94341,0.85433,1.23894,0.7723,0.68763,0.74157,0.55154,0.97869,0.86862,1.3076,0.000461898,0.000461898,0.000461898
47,3206.74,0.92943,0.85463,1.24035,0.78477,0.68522,0.7411,0.5498,0.97186,0.88936,1.31112,0.000453652,0.000453652,0.000453652
48,3284.58,0.93139,0.84101,1.2405,0.76704,0.69375,0.74314,0.55347,0.96922,0.8663,1.31165,0.000445405,0.000445405,0.000445405
49,3364.97,0.91666,0.83956,1.2369,0.7704,0.69628,0.73465,0.54419,0.96685,0.89737,1.30183,0.000437158,0.000437158,0.000437158
50,3446.4,0.90896,0.81183,1.23083,0.77796,0.69167,0.74792,0.54453,0.97496,0.87491,1.30796,0.000428912,0.000428912,0.000428912
51,3530.1,0.91726,0.81398,1.23058,0.76323,0.71092,0.74996,0.55108,0.9735,0.8694,1.30297,0.000420665,0.000420665,0.000420665
52,3605.69,0.90641,0.80497,1.22192,0.76308,0.7078,0.75089,0.55298,0.97662,0.85197,1.30661,0.000412418,0.000412418,0.000412418
53,3680.07,0.91242,0.79121,1.22791,0.79354,0.68448,0.74553,0.56017,0.96024,0.85418,1.2838,0.000404172,0.000404172,0.000404172
54,3755.73,0.90456,0.79851,1.224,0.78882,0.6833,0.74943,0.555,0.96787,0.84615,1.29813,0.000395925,0.000395925,0.000395925
55,3828.45,0.92098,0.79277,1.22446,0.76084,0.69717,0.74598,0.5584,0.97085,0.84829,1.30088,0.000387678,0.000387678,0.000387678
56,3901.94,0.89717,0.7775,1.21476,0.77374,0.70127,0.74226,0.55375,0.96831,0.84849,1.30033,0.000379431,0.000379431,0.000379431
57,3974.37,0.90386,0.77915,1.21044,0.79873,0.68901,0.75561,0.56515,0.95893,0.83793,1.28714,0.000371185,0.000371185,0.000371185
58,4045.47,0.89578,0.77148,1.21237,0.76129,0.70915,0.75154,0.57105,0.9492,0.83421,1.28776,0.000362938,0.000362938,0.000362938
59,4117.56,0.89709,0.77057,1.21508,0.77179,0.70968,0.76086,0.56784,0.95524,0.83001,1.28903,0.000354691,0.000354691,0.000354691
60,4188.15,0.9097,0.77061,1.21374,0.77977,0.7029,0.74994,0.56341,0.95329,0.82844,1.28417,0.000346445,0.000346445,0.000346445
61,4258.84,0.87956,0.74471,1.20087,0.78484,0.71015,0.75024,0.56241,0.96227,0.84389,1.29109,0.000338198,0.000338198,0.000338198
62,4330.53,0.88976,0.75485,1.20924,0.78132,0.7019,0.74298,0.55714,0.96157,0.86926,1.29656,0.000329951,0.000329951,0.000329951
63,4400.74,0.88564,0.75247,1.20347,0.77891,0.70106,0.75666,0.56855,0.96202,0.84226,1.29432,0.000321705,0.000321705,0.000321705
64,4471.82,0.89063,0.74069,1.20371,0.77106,0.71505,0.75504,0.56841,0.95864,0.81874,1.28841,0.000313458,0.000313458,0.000313458
65,4541.78,0.87573,0.72347,1.19876,0.78795,0.70226,0.75829,0.57374,0.9534,0.82702,1.28047,0.000305211,0.000305211,0.000305211
66,4612.52,0.86009,0.72557,1.19291,0.82544,0.68703,0.76034,0.56936,0.95926,0.82924,1.29616,0.000296964,0.000296964,0.000296964
67,4681.31,0.88596,0.72233,1.19557,0.79765,0.71421,0.75847,0.56998,0.95622,0.8172,1.29073,0.000288718,0.000288718,0.000288718
68,4750.97,0.87912,0.71883,1.19273,0.78521,0.71226,0.74489,0.56187,0.95986,0.83557,1.29876,0.000280471,0.000280471,0.000280471
69,4818.75,0.86385,0.70169,1.18593,0.80007,0.68694,0.74164,0.55497,0.97415,0.86914,1.30643,0.000272224,0.000272224,0.000272224
70,4888.29,0.86494,0.70581,1.18867,0.79956,0.67947,0.74596,0.56535,0.95873,0.85363,1.2889,0.000263978,0.000263978,0.000263978
71,4956.34,0.85939,0.68753,1.18578,0.79901,0.69723,0.75616,0.57049,0.96016,0.83667,1.28457,0.000255731,0.000255731,0.000255731
72,5023.14,0.87653,0.70103,1.1908,0.81217,0.68727,0.7552,0.56482,0.95288,0.84468,1.28603,0.000247484,0.000247484,0.000247484
73,5092.47,0.85357,0.68732,1.17767,0.80303,0.69238,0.7531,0.56549,0.9646,0.84205,1.28709,0.000239238,0.000239238,0.000239238
